date,event name,501 3DA,max min,url
2023,Ciswo Summer Tour,62.8,90.7 32.9,https://leaderboard.dartconnect.com/leaderboard#t-t_489-singles_01_501_si_do-all-all-all-all-all
2023,Dart Madness Tour,47.7,96.1 17.5,https://leaderboard.dartconnect.com/leaderboard#t-t_468-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Chicago,61.3,86.1 38.6,https://leaderboard.dartconnect.com/leaderboard#t-t_480-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Colorado,59.9,97.4 30.3,https://leaderboard.dartconnect.com/leaderboard#t-t_360-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Georgia,57.4,82.9 33.5,https://leaderboard.dartconnect.com/leaderboard#t-t_486-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Indiana,54.5,84.7 21.7,https://leaderboard.dartconnect.com/leaderboard#t-t_498-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Ohio (DPOH),63.1,93.9 39.3,https://leaderboard.dartconnect.com/leaderboard#t-t_513-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Philadelphia,64.2,83.3 37.1,https://leaderboard.dartconnect.com/leaderboard#t-t_390-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Pittsburgh,60.7,85.3 35.8,https://leaderboard.dartconnect.com/leaderboard#t-t_396-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Pittsburgh Q-School,53.6,68.0 41.1,https://leaderboard.dartconnect.com/leaderboard#t-t_378-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Texas,59.9,83.8 36.3,https://leaderboard.dartconnect.com/leaderboard#t-t_471-singles_01_501_si_do-all-all-all-all-all
2023,Dart Players Washington D.C.,59.1,86.9 33.0,https://leaderboard.dartconnect.com/leaderboard#t-t_438-singles_01_501_si_do-all-all-all-all-all
2023,Hungarian Darts Super League,71.5,94.1 50.9,https://leaderboard.dartconnect.com/leaderboard#t-t_332-singles_01_501_si_do-all-all-all-all-all
2023,King Of Brooklyn,47.0,82.4 28.2,https://leaderboard.dartconnect.com/leaderboard#t-t_561-singles_01_301_di_do-all-all-all-all-all
2023,Metro Ladies Darts Tour,40.8,61.1,https://leaderboard.dartconnect.com/leaderboard#t-t_402-singles_01_501_si_do-all-all-all-all-all
2023,Mr. Connecticut,55.0,87.5 30.0,https://leaderboard.dartconnect.com/leaderboard#t-t_555-singles_01_301_di_do-all-all-all-all-all
2023,Mrs. Connecticut,39.0,61.7 18.1,https://leaderboard.dartconnect.com/leaderboard#t-t_612-singles_01_301_di_do-all-all-all-all-all
2023,Oranjebar Super Ranking 41,59.7,99.0 25.5,https://leaderboard.dartconnect.com/leaderboard#t-t_516-singles_01_501_si_do-all-all-all-all-all
2023,Oranjebar Super Ranking 42,61.6,96.3 33.6,https://leaderboard.dartconnect.com/leaderboard#t-t_546-singles_01_501_si_do-all-all-all-all-all
2023,PDC Euro Tour E. Europe Qualifiers,78.1,99.0 53.9,https://leaderboard.dartconnect.com/leaderboard#t-t_450-singles_01_501_si_do-all-all-all-all-all
2023,PDC European Tour TCH Qualifiers,90.2,106.9 72.9,https://leaderboard.dartconnect.com/leaderboard#t-t_441-singles_01_501_si_do-all-all-all-all-all
2023,SDC Tour 2023,56.3,98.0 21.2,https://leaderboard.dartconnect.com/leaderboard#t-t_519-singles_01_501_si_do-all-all-all-all-all
